TRNYEAR,TRNMONTH,TRNDAY,CNT
2022,9,27,477
2022,9,26,581
2022,9,25,141
2022,9,24,17
2022,9,23,623
2022,9,22,588
2022,9,21,662
2022,9,20,650
2022,9,19,772
2022,9,18,92
2022,9,17,107
2022,9,16,607
2022,9,15,570
2022,9,14,690
2022,9,13,593
2022,9,12,610
2022,9,11,83
2022,9,10,153
2022,9,9,536
2022,9,8,727
2022,9,7,710
2022,9,6,554
2022,9,5,276
2022,9,4,121
2022,9,3,208
2022,9,2,408
2022,9,1,581
2022,8,31,734
2022,8,30,825
2022,8,29,762
2022,8,28,104
2022,8,27,178
2022,8,26,703
2022,8,25,710
2022,8,24,636
2022,8,23,740
2022,8,22,669
2022,8,21,107
2022,8,20,165
2022,8,19,681
2022,8,18,674
2022,8,17,562
2022,8,16,671
2022,8,15,619
2022,8,14,90
2022,8,13,189
2022,8,12,557
2022,8,11,642
2022,8,10,649
2022,8,9,668
2022,8,8,487
2022,8,7,60
2022,8,6,106
2022,8,5,594
2022,8,4,463
2022,8,3,461
2022,8,2,417
2022,8,1,437
2022,7,31,82
2022,7,30,352
2022,7,29,739
2022,7,28,654
2022,7,27,617
2022,7,26,513
2022,7,25,707
2022,7,24,66
2022,7,23,131
2022,7,22,593
2022,7,21,505
2022,7,20,699
2022,7,19,524
2022,7,18,585
2022,7,17,49
2022,7,16,96
2022,7,15,597
2022,7,14,480
2022,7,13,537
2022,7,12,619
2022,7,11,536
2022,7,10,82
2022,7,9,188
2022,7,8,709
2022,7,7,880
2022,7,6,598
2022,7,5,456
2022,7,4,2
2022,7,3,84
2022,7,2,119
2022,7,1,448
2022,6,30,700
2022,6,28,670
2022,6,27,653
2022,6,26,101
2022,6,25,140
2022,6,24,658
2022,6,23,658
2022,6,22,691
2022,6,21,559
2022,6,20,804
2022,6,19,31
2022,6,18,135
2022,6,17,683
2022,6,16,718
2022,6,15,861
2022,6,14,713
2022,6,13,686
2022,6,12,46
2022,6,11,151
2022,6,10,588
2022,6,9,732
2022,6,4,137
2022,5,12,774
2022,5,10,650
2022,2,20,113
2022,2,19,297
2022,2,18,536
2022,2,17,536
2022,2,16,583
2022,2,15,467
2022,2,14,560
2022,2,13,56
2022,2,12,255
2022,2,11,584
2022,2,10,537
2022,2,9,569
2022,2,8,450
2022,2,7,569
2022,2,6,41
2022,2,5,145
2022,2,4,464
2022,2,3,542
2022,2,2,678
2022,2,1,474
2022,1,31,714
2022,1,30,92
2022,1,29,105
2022,1,28,677
2022,1,27,656
2022,1,26,592
2022,1,25,569
2022,1,24,612
2022,1,23,34
2022,1,22,58
2022,1,21,502
2022,1,20,463
2022,1,19,481
2022,1,18,437
2022,1,17,497
2022,1,16,41
2022,1,15,110
2022,1,14,482
2022,1,13,450
2022,1,12,552
2022,1,11,568
2022,1,10,316
2022,1,9,53
2022,1,8,143
2022,1,7,583
2022,1,6,517
2022,1,5,405
2022,1,4,558
2022,1,3,97
2022,1,2,111
2022,1,1,1
2021,12,31,420
2021,12,30,491
2021,12,29,579
2021,12,28,436
2021,12,27,476
2021,12,26,85
2021,12,25,1
2021,12,23,157
2021,12,22,596
2021,12,21,691
2021,12,20,467
2021,12,19,79
2021,12,18,174
2021,12,17,484
2021,12,16,555
2021,12,15,552
2021,12,14,597
2021,12,13,597
2021,12,12,142
2021,12,11,127
2021,12,10,547
2021,12,9,565
2021,12,8,647
2021,12,7,658
2021,12,6,586
2021,12,5,104
2021,12,4,137
2021,12,3,239
2021,12,2,488
2021,12,1,486
2021,11,30,667
2021,11,29,668
2021,11,28,115
2021,11,27,194
2021,11,26,302
2021,11,24,526
2021,11,23,653
2021,11,22,675
2021,11,21,93
2021,11,20,123
2021,11,19,230
2021,11,18,214
2021,11,17,596
2021,11,16,716
2021,11,15,585
2021,11,14,107
2021,11,13,205
2021,11,12,511
2021,11,11,707
2021,11,10,520
2021,11,9,602
2021,11,8,523
2021,11,7,49
2021,11,6,120
2021,11,5,558
2021,11,4,378
2021,11,3,465
2021,11,2,499
2021,11,1,513
2021,10,31,75
2021,10,30,321
2021,10,29,496
2021,10,28,415
2021,10,27,409
2021,10,26,483
2021,10,25,411
2021,10,24,63
2021,10,23,115
2021,10,22,453
2021,10,21,538
2021,10,20,460
2021,10,19,573
2021,10,18,448
2021,10,17,68
2021,10,16,95
2021,10,15,494
2021,10,14,633
2021,10,13,383
2021,10,12,487
2021,10,11,525
2021,10,10,33
2021,10,9,100
2021,10,8,435
2021,10,7,434
2021,10,6,515
2021,10,5,501
2021,10,4,488
2021,10,3,47
2021,10,2,109
2021,10,1,496
2021,9,30,490
2021,9,29,531
2021,9,28,611
2021,9,27,470
2021,9,26,71
2021,9,25,148
2021,9,24,454
2021,9,23,456
2021,9,22,452
2021,9,21,524
2021,9,20,484
2021,9,19,43
2021,9,18,114
2021,9,17,392
2021,9,16,486
2021,9,15,591
2021,9,14,670
2021,9,13,588
2021,9,12,117
2021,9,11,145
2021,9,10,549
2021,9,9,681
2021,9,8,576
2021,9,7,527
2021,9,6,205
2021,9,5,79
2021,9,4,199
2021,9,3,198
2021,9,2,481
2021,9,1,517
2021,8,31,766
2021,8,30,731
2021,8,29,52
2021,8,28,220
2021,8,27,565
2021,8,26,657
2021,8,25,761
2021,8,24,669
2021,8,23,755
2021,8,22,73
2021,8,21,205
2021,8,20,553
2021,8,19,575
2021,8,18,700
2021,8,17,455
2021,8,16,538
2021,8,15,119
2021,8,14,150
2021,8,13,622
2021,8,12,724
2021,8,11,589
2021,8,10,642
2021,8,9,741
2021,8,8,38
2021,8,7,120
2021,8,6,519
2021,8,5,488
2021,8,4,462
2021,8,3,528
2021,8,2,332
2021,8,1,43
2021,7,31,223
2021,7,30,649
2021,7,29,419
2021,7,28,554
2021,7,27,530
2021,7,26,536
2021,7,25,55
2021,7,24,119
2021,7,23,479
2021,7,22,470
2021,7,21,599
2021,7,20,551
2021,7,19,464
2021,7,18,57
2021,7,17,154
2021,7,16,518
2021,7,15,580
2021,7,14,465
2021,7,13,559
2021,7,12,549
2021,7,11,35
2021,7,10,97
2021,7,9,493
2021,7,8,647
2021,7,7,701
2021,7,6,609
2021,7,5,122
2021,7,4,7
2021,7,3,137
2021,7,2,480
2021,7,1,549
2021,6,31,3
2021,6,30,665
2021,6,29,704
2021,6,28,745
2021,6,27,90
2021,6,26,155
2021,6,25,642
2021,6,24,598
2021,6,23,572
2021,6,22,543
2021,6,21,542
2021,6,20,59
2021,6,19,106
2021,6,18,561
2021,6,17,597
2021,6,16,525
2021,6,15,740
2021,6,14,669
2021,6,13,62
2021,6,12,114
2021,6,11,546
2021,6,10,628
2021,6,9,661
2021,6,8,593
2021,6,7,636
2021,6,6,89
2021,6,5,161
2021,6,4,620
2021,6,3,527
2021,6,2,463
2021,6,1,393
2021,5,31,272
2021,5,30,135
2021,5,29,212
2021,5,28,711
2021,5,27,644
2021,5,26,601
2021,5,25,654
2021,5,24,661
2021,5,23,96
2021,5,22,176
2021,5,21,555
2021,5,20,663
2021,5,19,515
2021,5,18,689
2021,5,17,597
2021,5,16,117
2021,5,15,132
2021,5,14,393
2021,5,13,650
2021,5,12,403
2021,5,11,534
2021,5,10,625
2021,5,9,49
2021,5,8,171
2021,5,7,535
2021,5,6,589
2021,5,5,644
2021,5,4,435
2021,5,3,502
2021,5,2,69
2021,5,1,105
2021,4,31,3
2021,4,30,694
2021,4,29,676
2021,4,28,659
2021,4,27,857
2021,4,26,533
2021,4,25,43
2021,4,24,139
2021,4,23,590
2021,4,22,739
2021,4,21,516
2021,4,20,545
2021,4,19,494
2021,4,18,77
2021,4,17,143
2021,4,16,448
2021,4,15,455
2021,4,14,513
2021,4,13,490
2021,4,12,446
2021,4,11,55
2021,4,10,136
2021,4,9,481
2021,4,8,586
2021,4,7,579
2021,4,6,560
2021,4,5,509
2021,4,3,160
2021,4,2,329
2021,4,1,486
2021,3,31,581
2021,3,30,652
2021,3,29,522
2021,3,28,72
2021,3,27,135
2021,3,26,512
2021,3,25,287
2021,3,24,472
2021,3,23,556
2021,3,22,510
2021,3,21,277
2021,3,20,104
2021,3,19,407
2021,3,18,553
2021,3,17,310
2021,3,16,511
2021,3,15,353
2021,3,14,74
2021,3,13,127
2021,3,12,455
2021,3,11,510
2021,3,10,422
2021,3,9,622
2021,3,8,504
2021,3,7,80
2021,3,6,130
2021,3,5,487
2021,3,4,514
2021,3,3,433
2021,3,2,500
2021,3,1,301
2021,2,28,117
2021,2,27,110
2021,2,26,649
2021,2,25,497
2021,2,24,522
2021,2,23,449
2021,2,22,500
2021,2,21,106
2021,2,20,105
2021,2,19,405
2021,2,18,430
2021,2,17,409
2021,2,16,131
2021,2,15,392
2021,2,14,56
2021,2,13,156
2021,2,12,432
2021,2,11,588
2021,2,10,356
2021,2,9,393
2021,2,8,493
2021,2,7,34
2021,2,6,99
2021,2,5,411
2021,2,4,345
2021,2,3,363
2021,2,2,473
2021,2,1,267
2021,1,31,49
2021,1,30,198
2021,1,29,554
2021,1,28,311
2021,1,27,478
2021,1,26,404
2021,1,25,484
2021,1,24,32
2021,1,23,116
2021,1,22,465
2021,1,21,446
2021,1,20,440
2021,1,19,436
2021,1,18,363
2021,1,17,53
2021,1,16,138
2021,1,15,429
2021,1,14,602
2021,1,13,332
2021,1,12,378
2021,1,11,516
2021,1,10,94
2021,1,9,142
2021,1,8,373
2021,1,7,338
2021,1,6,380
2021,1,5,384
2021,1,4,414
2021,1,3,52
2021,1,2,133
2021,1,1,2
2020,12,31,398
2020,12,30,480
2020,12,29,430
2020,12,28,529
2020,12,27,57
2020,12,26,138
2020,12,23,483
2020,12,22,396
2020,12,21,584
2020,12,20,69
2020,12,19,130
2020,12,18,584
2020,12,17,481
2020,12,16,527
2020,12,15,457
2020,12,14,539
2020,12,13,118
2020,12,12,206
