Date,SQL08_cnt,SnowFlake_cnt,Diffs
All,6124013,6123881,132
10/10/2022,54,,54
10/9/2022,254,247,7
10/8/2022,781,763,18
10/7/2022,1602,1586,16
10/6/2022,1951,1943,8
10/5/2022,2331,2325,6
10/4/2022,2949,2949,0
10/3/2022,2201,2195,6
10/2/2022,383,377,6
10/1/2022,1069,1069,0
9/30/2022,2920,2922,-2
9/29/2022,2471,2471,0
9/28/2022,2535,2535,0
9/27/2022,2401,2401,0
9/26/2022,2737,2737,0
9/25/2022,502,502,0
9/24/2022,834,834,0
9/23/2022,2171,2171,0
9/22/2022,2535,2535,0
9/21/2022,2436,2436,0
9/20/2022,2502,2502,0
9/19/2022,3111,3111,0
9/18/2022,1055,1055,0
9/17/2022,904,904,0
9/16/2022,2549,2549,0
9/15/2022,2165,2165,0
9/14/2022,4120,4120,0
9/13/2022,3394,3394,0
9/12/2022,2921,2921,0
9/11/2022,634,634,0
9/10/2022,1734,1734,0
9/9/2022,4767,4767,0
9/8/2022,2534,2532,2
9/7/2022,3957,3957,0
9/6/2022,4494,4494,0
9/5/2022,4937,4937,0
9/4/2022,2204,2204,0
9/3/2022,2881,2881,0
9/2/2022,3775,3775,0
9/1/2022,4082,4081,1
8/31/2022,4218,4218,0
8/30/2022,3633,3633,0
8/29/2022,3668,3668,0
8/28/2022,1084,1084,0
8/27/2022,2025,2025,0
8/26/2022,4370,4370,0
8/25/2022,2379,2379,0
8/24/2022,3346,3346,0
8/23/2022,3141,3141,0
8/22/2022,3075,3075,0
8/21/2022,1261,1261,0
8/20/2022,1851,1851,0
8/19/2022,2289,2289,0
8/18/2022,3815,3815,0
8/17/2022,2256,2256,0
8/16/2022,2876,2876,0
8/15/2022,3660,3660,0
8/14/2022,1088,1088,0
8/13/2022,1614,1614,0
8/12/2022,2680,2680,0
8/11/2022,4325,4325,0
8/10/2022,2769,2769,0
8/9/2022,2315,2315,0
8/8/2022,2457,2457,0
8/7/2022,562,562,0
8/6/2022,740,740,0
8/5/2022,2902,2902,0
8/4/2022,1857,1857,0
8/3/2022,2297,2297,0
8/2/2022,2900,2900,0
8/1/2022,2610,2610,0
7/31/2022,775,775,0
7/30/2022,1053,1051,2
7/29/2022,2193,2193,0
7/28/2022,1868,1868,0
7/27/2022,2319,2319,0
7/26/2022,1733,1733,0
7/25/2022,1920,1920,0
7/24/2022,458,458,0
7/23/2022,1125,1125,0
7/22/2022,2250,2250,0
7/21/2022,1994,1994,0
7/20/2022,2127,2127,0
7/19/2022,2131,2131,0
7/18/2022,2251,2251,0
7/17/2022,898,898,0
7/16/2022,1572,1572,0
7/15/2022,2728,2728,0
7/14/2022,2730,2730,0
7/13/2022,2985,2985,0
