SCHEMA_NAME,FILE_NAME,TABLE_NAME,LAST_LOAD_TIME,STATUS,ROW_COUNT,ROW_PARSED,FIRST_ERROR_MESSAGE,FIRST_ERROR_LINE_NUMBER,FIRST_ERROR_CHARACTER_POSITION,FIRST_ERROR_COL_NAME,ERROR_COUNT,ERROR_LIMIT
DBO,userszzdc36bfae-94fd-477e-8c36-caade8c6efe4/ACCOUNTS/INSERT/20230622_082921_665_TYACSR_13/stream_20230622_082921_6650.gz,ACCOUNTS_20230622_082921_665_13,"Thursday, June 22, 2023",PARTIALLY_LOADED,976,1000,User character length limit (5) exceeded by string 'Design Services',59,673,"ACCOUNTS_20230622_082921_665_13""""[""""SECONDARYBUSINESS"""":77]",24,1000
DBO,userszzdc36bfae-94fd-477e-8c36-caade8c6efe4/ACCOUNTS/INSERT/20230622_082905_051_59TG7Z_12/stream_20230622_082905_0510.gz,ACCOUNTS_20230622_082905_051_12,"Thursday, June 22, 2023",PARTIALLY_LOADED,984,1000,User character length limit (5) exceeded by string 'Design Services',379,652,"ACCOUNTS_20230622_082905_051_12""""[""""SECONDARYBUSINESS"""":77]",16,1000
DBO,userszzdc36bfae-94fd-477e-8c36-caade8c6efe4/CONTACTS/INSERT/20230622_082846_191_FGEYNM_5/stream_20230622_082846_1910.gz,CONTACTS_20230622_082846_191_5,"Thursday, June 22, 2023",LOAD_FAILED,0,2000,User character length limit (20) exceeded by string 'MIKE & CLAUDIA CLINARD',1,388,"CONTACTS_20230622_082846_191_5""""[""""ACCOUNTNAME"""":40]",2000,2000
DBO,userszzdc36bfae-94fd-477e-8c36-caade8c6efe4/ACCOUNTS/INSERT/20230622_082847_903_CCGUHV_11/stream_20230622_082847_9030.gz,ACCOUNTS_20230622_082847_903_11,"Thursday, June 22, 2023",PARTIALLY_LOADED,953,1000,User character length limit (5) exceeded by string 'Design Services',158,590,"ACCOUNTS_20230622_082847_903_11""""[""""SECONDARYBUSINESS"""":77]",47,1000
DBO,userszzdc36bfae-94fd-477e-8c36-caade8c6efe4/ACCOUNTS/INSERT/20230622_082836_370_TL0ZL1_10/stream_20230622_082836_3700.gz,ACCOUNTS_20230622_082836_370_10,"Thursday, June 22, 2023",PARTIALLY_LOADED,949,1000,User character length limit (5) exceeded by string 'Interior Designer',17,654,"ACCOUNTS_20230622_082836_370_10""""[""""SECONDARYBUSINESS"""":77]",51,1000
DBO,userszzdc36bfae-94fd-477e-8c36-caade8c6efe4/CONTACTS/INSERT/20230622_082819_249_3C1ONG_4/stream_20230622_082819_2490.gz,CONTACTS_20230622_082819_249_4,"Thursday, June 22, 2023",LOAD_FAILED,0,2000,User character length limit (20) exceeded by string '2022-11-21 00:00:00.000-06:00',1,377,"CONTACTS_20230622_082819_249_4""""[""""CONSENTLASTUPDATED"""":55]",2000,2000
DBO,userszzdc36bfae-94fd-477e-8c36-caade8c6efe4/ACCOUNTS/INSERT/20230622_082824_267_E780MJ_9/stream_20230622_082824_2670.gz,ACCOUNTS_20230622_082824_267_9,"Thursday, June 22, 2023",PARTIALLY_LOADED,894,1000,User character length limit (5) exceeded by string 'Design Services',441,640,"ACCOUNTS_20230622_082824_267_9""""[""""SECONDARYBUSINESS"""":77]",106,1000
DBO,userszzdc36bfae-94fd-477e-8c36-caade8c6efe4/ACCOUNTS/INSERT/20230622_082811_643_6OAFET_8/stream_20230622_082811_6430.gz,ACCOUNTS_20230622_082811_643_8,"Thursday, June 22, 2023",PARTIALLY_LOADED,990,1000,User character length limit (5) exceeded by string 'Interior Designer',451,626,"ACCOUNTS_20230622_082811_643_8""""[""""SECONDARYBUSINESS"""":77]",10,1000
DBO,userszzdc36bfae-94fd-477e-8c36-caade8c6efe4/CONTACTS/INSERT/20230622_082748_317_INY3OJ_3/stream_20230622_082748_3170.gz,CONTACTS_20230622_082748_317_3,"Thursday, June 22, 2023",LOAD_FAILED,0,2000,User character length limit (20) exceeded by string '2021-11-09 00:00:00.000-06:00',1,421,"CONTACTS_20230622_082748_317_3""""[""""CONSENTLASTUPDATED"""":55]",2000,2000
DBO,userszzdc36bfae-94fd-477e-8c36-caade8c6efe4/ACCOUNTS/INSERT/20230622_082758_353_JTUJGR_7/stream_20230622_082758_3530.gz,ACCOUNTS_20230622_082758_353_7,"Thursday, June 22, 2023",PARTIALLY_LOADED,992,1000,User character length limit (5) exceeded by string 'Design Services',85,628,"ACCOUNTS_20230622_082758_353_7""""[""""SECONDARYBUSINESS"""":77]",8,1000
DBO,userszzdc36bfae-94fd-477e-8c36-caade8c6efe4/ACCOUNTS/INSERT/20230622_082746_771_SRDIAW_6/stream_20230622_082746_7710.gz,ACCOUNTS_20230622_082746_771_6,"Thursday, June 22, 2023",PARTIALLY_LOADED,944,1000,User character length limit (5) exceeded by string 'Design Services',10,651,"ACCOUNTS_20230622_082746_771_6""""[""""SECONDARYBUSINESS"""":77]",56,1000
DBO,userszzdc36bfae-94fd-477e-8c36-caade8c6efe4/CONTACTS/INSERT/20230622_082717_834_OUAGSX_2/stream_20230622_082717_8340.gz,CONTACTS_20230622_082717_834_2,"Thursday, June 22, 2023",LOAD_FAILED,0,2000,User character length limit (20) exceeded by string '2023-06-16 00:00:00.000-05:00',1,362,"CONTACTS_20230622_082717_834_2""""[""""CONSENTLASTUPDATED"""":55]",2000,2000
DBO,userszzdc36bfae-94fd-477e-8c36-caade8c6efe4/ACCOUNTS/INSERT/20230622_082730_718_XKLB1W_5/stream_20230622_082730_7180.gz,ACCOUNTS_20230622_082730_718_5,"Thursday, June 22, 2023",PARTIALLY_LOADED,938,1000,User character length limit (5) exceeded by string 'Design Services',1,584,"ACCOUNTS_20230622_082730_718_5""""[""""SECONDARYBUSINESS"""":77]",62,1000
DBO,userszzdc36bfae-94fd-477e-8c36-caade8c6efe4/ACCOUNTS/INSERT/20230622_082719_733_OLA3RR_4/stream_20230622_082719_7330.gz,ACCOUNTS_20230622_082719_733_4,"Thursday, June 22, 2023",PARTIALLY_LOADED,923,1000,User character length limit (5) exceeded by string 'Design Services',10,641,"ACCOUNTS_20230622_082719_733_4""""[""""SECONDARYBUSINESS"""":77]",77,1000
DBO,userszzdc36bfae-94fd-477e-8c36-caade8c6efe4/CONTACTS/INSERT/20230622_082641_291_T7OR4W_1/stream_20230622_082641_2910.gz,CONTACTS_20230622_082641_291_1,"Thursday, June 22, 2023",LOAD_FAILED,0,2000,User character length limit (20) exceeded by string '2023-06-15 00:00:00.000-05:00',1,387,"CONTACTS_20230622_082641_291_1""""[""""CONSENTLASTUPDATED"""":55]",2000,2000
DBO,userszzdc36bfae-94fd-477e-8c36-caade8c6efe4/ACCOUNTS/INSERT/20230622_082656_182_QKURO0_3/stream_20230622_082656_1820.gz,ACCOUNTS_20230622_082656_182_3,"Thursday, June 22, 2023",PARTIALLY_LOADED,907,1000,User character length limit (5) exceeded by string 'Design Services',7,648,"ACCOUNTS_20230622_082656_182_3""""[""""SECONDARYBUSINESS"""":77]",93,1000
DBO,userszzdc36bfae-94fd-477e-8c36-caade8c6efe4/ACCOUNTS/INSERT/20230622_082640_235_NQWSSS_2/stream_20230622_082640_2350.gz,ACCOUNTS_20230622_082640_235_2,"Thursday, June 22, 2023",PARTIALLY_LOADED,891,1000,User character length limit (5) exceeded by string 'Designer',235,457,"ACCOUNTS_20230622_082640_235_2""""[""""CUSTOMERTYPEOLD"""":57]",109,1000
DBO,userszzdc36bfae-94fd-477e-8c36-caade8c6efe4/ACCOUNTS/INSERT/20230622_082622_786_9BGDKK_1/stream_20230622_082622_7860.gz,ACCOUNTS_20230622_082622_786_1,"Thursday, June 22, 2023",PARTIALLY_LOADED,898,1000,User character length limit (5) exceeded by string 'Design Services',5,647,"ACCOUNTS_20230622_082622_786_1""""[""""SECONDARYBUSINESS"""":77]",102,1000
DBO,userszzdc36bfae-94fd-477e-8c36-caade8c6efe4/QUOTELINEITEMS/INSERT/20230622_055302_214_RFN721_39/stream_20230622_055302_2140.gz,QUOTELINEITEMS_20230622_055302_214_39,"Thursday, June 22, 2023",PARTIALLY_LOADED,1086,1113,"User character length limit (200) exceeded by string 'THEN, we're thinking we could layer in:(after Dec 31, when slipper chairs are available) *(2) Elegant'",30,155,"QUOTELINEITEMS_20230622_055302_214_39""""[""""DESCRIPTION"""":7]",27,1113
DBO,userszzdc36bfae-94fd-477e-8c36-caade8c6efe4/QUOTELINEITEMS/INSERT/20230622_055241_539_RHWZ2T_38/stream_20230622_055241_5390.gz,QUOTELINEITEMS_20230622_055241_539_38,"Thursday, June 22, 2023",PARTIALLY_LOADED,1966,2000,User character length limit (200) exceeded by string 'Prices shown do not include the 10% surcharge added to all orders currently. We cannot hold the Pete ',41,155,"QUOTELINEITEMS_20230622_055241_539_38""""[""""DESCRIPTION"""":7]",34,2000
DBO,userszzdc36bfae-94fd-477e-8c36-caade8c6efe4/QUOTELINEITEMS/INSERT/20230622_055220_540_6VLAX1_37/stream_20230622_055220_5400.gz,QUOTELINEITEMS_20230622_055220_540_37,"Thursday, June 22, 2023",PARTIALLY_LOADED,1937,2000,"User character length limit (200) exceeded by string 'FREIGHT & TAX ARE TBD.  BEGINNING 9/21/21, ALL ORDERS ARE SUBJECT TO A 10% INTERNATIONAL MATERIALS & '",9,155,"QUOTELINEITEMS_20230622_055220_540_37""""[""""DESCRIPTION"""":7]",63,2000
DBO,userszzdc36bfae-94fd-477e-8c36-caade8c6efe4/QUOTELINEITEMS/INSERT/20230622_055157_373_MZYK3R_36/stream_20230622_055157_3730.gz,QUOTELINEITEMS_20230622_055157_373_36,"Thursday, June 22, 2023",PARTIALLY_LOADED,1939,1996,User character length limit (200) exceeded by string '* Santa Barbara Sectional Floor Model 40% Adjustment. Final Sale. * Santa Barbara Chairs (2) Coordina',25,152,"QUOTELINEITEMS_20230622_055157_373_36""""[""""DESCRIPTION"""":7]",57,1996
DBO,userszzdc36bfae-94fd-477e-8c36-caade8c6efe4/QUOTELINEITEMS/INSERT/20230622_055137_450_0QI4C8_35/stream_20230622_055137_4500.gz,QUOTELINEITEMS_20230622_055137_450_35,"Thursday, June 22, 2023",PARTIALLY_LOADED,1919,1999,User character length limit (200) exceeded by string '40% off Summer Classics and 20% off accessories ends May 25th. Delivery fee listed for local charlott',8,153,"QUOTELINEITEMS_20230622_055137_450_35""""[""""DESCRIPTION"""":7]",80,1999
DBO,userszzdc36bfae-94fd-477e-8c36-caade8c6efe4/QUOTELINEITEMS/INSERT/20230622_055112_595_434W09_34/stream_20230622_055112_5950.gz,QUOTELINEITEMS_20230622_055112_595_34,"Thursday, June 22, 2023",PARTIALLY_LOADED,1924,2000,"User character length limit (200) exceeded by string '50% off Summer Classics, Gabby casegoods, and Wendy Jane ends September 7th. HAVANA LOUNGE BACKORDERE'",6,157,"QUOTELINEITEMS_20230622_055112_595_34""""[""""DESCRIPTION"""":7]",76,2000
DBO,userszzdc36bfae-94fd-477e-8c36-caade8c6efe4/QUOTELINEITEMS/INSERT/20230622_055052_037_CA5Y6H_33/stream_20230622_055052_0370.gz,QUOTELINEITEMS_20230622_055052_037_33,"Thursday, June 22, 2023",PARTIALLY_LOADED,1940,2000,"User character length limit (200) exceeded by string 'FREIGHT & TAX ARE TBD.  BEGINNING 9/21/21, ALL ORDERS ARE SUBJECT TO A 10% INTERNATIONAL MATERIALS & '",38,155,"QUOTELINEITEMS_20230622_055052_037_33""""[""""DESCRIPTION"""":7]",60,2000
DBO,userszzdc36bfae-94fd-477e-8c36-caade8c6efe4/QUOTELINEITEMS/INSERT/20230622_055028_506_DAAHW1_32/stream_20230622_055028_5060.gz,QUOTELINEITEMS_20230622_055028_506_32,"Thursday, June 22, 2023",PARTIALLY_LOADED,1924,2000,User character length limit (200) exceeded by string '40% off MSRP on Summer Classics and 50% off Wicker ends July 7th. Tax to be determined. Price for cus',10,154,"QUOTELINEITEMS_20230622_055028_506_32""""[""""DESCRIPTION"""":7]",76,2000
DBO,userszzdc36bfae-94fd-477e-8c36-caade8c6efe4/QUOTELINEITEMS/INSERT/20230622_055009_368_8S9YTK_31/stream_20230622_055009_3680.gz,QUOTELINEITEMS_20230622_055009_368_31,"Thursday, June 22, 2023",PARTIALLY_LOADED,1930,1998,"User character length limit (200) exceeded by string 'Due to foam shortage, all cushions should be available by July. Santa Barbara teak lounge chairs back'",77,156,"QUOTELINEITEMS_20230622_055009_368_31""""[""""DESCRIPTION"""":7]",68,1998
DBO,userszzdc36bfae-94fd-477e-8c36-caade8c6efe4/QUOTELINEITEMS/INSERT/20230622_054947_003_OJW6LX_30/stream_20230622_054947_0030.gz,QUOTELINEITEMS_20230622_054947_003_30,"Thursday, June 22, 2023",PARTIALLY_LOADED,1922,1999,User character length limit (200) exceeded by string 'SCPL items: (qty=3) PJ-813102-T (qty=3) PJ-813102-B Wendy Jane fabrics for C110 pillows (qty=4) C110 ',79,151,"QUOTELINEITEMS_20230622_054947_003_30""""[""""DESCRIPTION"""":7]",77,1999
DBO,userszzdc36bfae-94fd-477e-8c36-caade8c6efe4/QUOTELINEITEMS/INSERT/20230622_054924_732_QKU56R_29/stream_20230622_054924_7320.gz,QUOTELINEITEMS_20230622_054924_732_29,"Thursday, June 22, 2023",PARTIALLY_LOADED,1901,1997,"User character length limit (200) exceeded by string 'FREIGHT & TAX ARE TBD.  BEGINNING 9/21/21, ALL ORDERS ARE SUBJECT TO A 10% INTERNATIONAL MATERIALS & '",7,153,"QUOTELINEITEMS_20230622_054924_732_29""""[""""DESCRIPTION"""":7]",96,1997
DBO,userszzdc36bfae-94fd-477e-8c36-caade8c6efe4/QUOTELINEITEMS/INSERT/20230622_054904_797_3E352Y_28/stream_20230622_054904_7970.gz,QUOTELINEITEMS_20230622_054904_797_28,"Thursday, June 22, 2023",PARTIALLY_LOADED,1937,2000,User character length limit (200) exceeded by string 'Buy More Save More promotion ends February 28th. Tax to be determined. Price for cushions will change',11,155,"QUOTELINEITEMS_20230622_054904_797_28""""[""""DESCRIPTION"""":7]",63,2000
DBO,userszzdc36bfae-94fd-477e-8c36-caade8c6efe4/QUOTELINEITEMS/INSERT/20230622_054842_238_IZ0EF7_27/stream_20230622_054842_2380.gz,QUOTELINEITEMS_20230622_054842_238_27,"Thursday, June 22, 2023",PARTIALLY_LOADED,1921,1996,User character length limit (200) exceeded by string 'Pricing: (1) Does not include applicable taxes or freight.; (2) Valid through 3/14/21 (price increase',10,152,"QUOTELINEITEMS_20230622_054842_238_27""""[""""DESCRIPTION"""":7]",75,1996
DBO,userszzdc36bfae-94fd-477e-8c36-caade8c6efe4/QUOTELINEITEMS/INSERT/20230622_054819_980_10COTF_26/stream_20230622_054819_9800.gz,QUOTELINEITEMS_20230622_054819_980_26,"Thursday, June 22, 2023",PARTIALLY_LOADED,1922,1999,User character length limit (200) exceeded by string 'Estimated 10-12 week lead time. Price will change if different grade of fabric is selected or piping ',44,156,"QUOTELINEITEMS_20230622_054819_980_26""""[""""DESCRIPTION"""":7]",77,1999
DBO,userszzdc36bfae-94fd-477e-8c36-caade8c6efe4/QUOTELINEITEMS/INSERT/20230622_054800_359_S1DEG7_25/stream_20230622_054800_3590.gz,QUOTELINEITEMS_20230622_054800_359_25,"Thursday, June 22, 2023",PARTIALLY_LOADED,1923,2000,"User character length limit (200) exceeded by string 'FREIGHT & TAX ARE TBD.  BEGINNING 10/21/21, ALL ORDERS ARE SUBJECT TO A 10% INTERNATIONAL MATERIALS &'",16,155,"QUOTELINEITEMS_20230622_054800_359_25""""[""""DESCRIPTION"""":7]",77,2000
DBO,userszzdc36bfae-94fd-477e-8c36-caade8c6efe4/QUOTELINEITEMS/INSERT/20230622_054741_671_GUKPT7_24/stream_20230622_054741_6710.gz,QUOTELINEITEMS_20230622_054741_671_24,"Thursday, June 22, 2023",PARTIALLY_LOADED,1923,1998,User character length limit (200) exceeded by string 'Add 3-4% for surcharge starting 4/1 Cushions on dining 4-6 weeks Deep seating cushions the end of Jun',37,155,"QUOTELINEITEMS_20230622_054741_671_24""""[""""DESCRIPTION"""":7]",75,1998
DBO,userszzdc36bfae-94fd-477e-8c36-caade8c6efe4/QUOTELINEITEMS/INSERT/20230622_054719_309_FJVSX4_23/stream_20230622_054719_3090.gz,QUOTELINEITEMS_20230622_054719_309_23,"Thursday, June 22, 2023",PARTIALLY_LOADED,1944,2000,User character length limit (200) exceeded by string 'Backordered items with estimated arrival dates listed. Dates subject to change. Tax to be determined.',13,154,"QUOTELINEITEMS_20230622_054719_309_23""""[""""DESCRIPTION"""":7]",56,2000
