SCHEMA_NAME,FILE_NAME,TABLE_NAME,LAST_LOAD_TIME,STATUS,ROW_COUNT,ROW_PARSED,FIRST_ERROR_MESSAGE,FIRST_ERROR_LINE_NUMBER,FIRST_ERROR_CHARACTER_POSITION,FIRST_ERROR_COL_NAME,ERROR_COUNT,ERROR_LIMIT
DBO,userszzdc36bfae-94fd-477e-8c36-caade8c6efe4/QUOTELINEITEMS/INSERT/20230622_055302_214_RFN721_39/stream_20230622_055302_2140.gz,QUOTELINEITEMS_20230622_055302_214_39,2023-06-22 03:53:18.287 -0700,PARTIALLY_LOADED,1086,1113,"User character length limit (200) exceeded by string 'THEN, we're thinking we could layer in:(after Dec 31, when slipper chairs are available) *(2) Elegant'",30,155,""QUOTELINEITEMS_20230622_055302_214_39""[""DESCRIPTION"":7],27,1113
DBO,userszzdc36bfae-94fd-477e-8c36-caade8c6efe4/QUOTELINEITEMS/INSERT/20230622_055241_539_RHWZ2T_38/stream_20230622_055241_5390.gz,QUOTELINEITEMS_20230622_055241_539_38,2023-06-22 03:53:00.844 -0700,PARTIALLY_LOADED,1966,2000,User character length limit (200) exceeded by string 'Prices shown do not include the 10% surcharge added to all orders currently. We cannot hold the Pete ',41,155,""QUOTELINEITEMS_20230622_055241_539_38""[""DESCRIPTION"":7],34,2000
DBO,userszzdc36bfae-94fd-477e-8c36-caade8c6efe4/QUOTELINEITEMS/INSERT/20230622_055220_540_6VLAX1_37/stream_20230622_055220_5400.gz,QUOTELINEITEMS_20230622_055220_540_37,2023-06-22 03:52:40.260 -0700,PARTIALLY_LOADED,1937,2000,"User character length limit (200) exceeded by string 'FREIGHT & TAX ARE TBD.  BEGINNING 9/21/21, ALL ORDERS ARE SUBJECT TO A 10% INTERNATIONAL MATERIALS & '",9,155,""QUOTELINEITEMS_20230622_055220_540_37""[""DESCRIPTION"":7],63,2000
DBO,userszzdc36bfae-94fd-477e-8c36-caade8c6efe4/QUOTELINEITEMS/INSERT/20230622_055157_373_MZYK3R_36/stream_20230622_055157_3730.gz,QUOTELINEITEMS_20230622_055157_373_36,2023-06-22 03:52:19.190 -0700,PARTIALLY_LOADED,1939,1996,User character length limit (200) exceeded by string '* Santa Barbara Sectional Floor Model 40% Adjustment. Final Sale. * Santa Barbara Chairs (2) Coordina',25,152,""QUOTELINEITEMS_20230622_055157_373_36""[""DESCRIPTION"":7],57,1996
DBO,userszzdc36bfae-94fd-477e-8c36-caade8c6efe4/QUOTELINEITEMS/INSERT/20230622_055137_450_0QI4C8_35/stream_20230622_055137_4500.gz,QUOTELINEITEMS_20230622_055137_450_35,2023-06-22 03:51:56.048 -0700,PARTIALLY_LOADED,1919,1999,User character length limit (200) exceeded by string '40% off Summer Classics and 20% off accessories ends May 25th. Delivery fee listed for local charlott',8,153,""QUOTELINEITEMS_20230622_055137_450_35""[""DESCRIPTION"":7],80,1999
DBO,userszzdc36bfae-94fd-477e-8c36-caade8c6efe4/QUOTELINEITEMS/INSERT/20230622_055112_595_434W09_34/stream_20230622_055112_5950.gz,QUOTELINEITEMS_20230622_055112_595_34,2023-06-22 03:51:35.981 -0700,PARTIALLY_LOADED,1924,2000,"User character length limit (200) exceeded by string '50% off Summer Classics, Gabby casegoods, and Wendy Jane ends September 7th. HAVANA LOUNGE BACKORDERE'",6,157,""QUOTELINEITEMS_20230622_055112_595_34""[""DESCRIPTION"":7],76,2000
DBO,userszzdc36bfae-94fd-477e-8c36-caade8c6efe4/QUOTELINEITEMS/INSERT/20230622_055052_037_CA5Y6H_33/stream_20230622_055052_0370.gz,QUOTELINEITEMS_20230622_055052_037_33,2023-06-22 03:51:11.263 -0700,PARTIALLY_LOADED,1940,2000,"User character length limit (200) exceeded by string 'FREIGHT & TAX ARE TBD.  BEGINNING 9/21/21, ALL ORDERS ARE SUBJECT TO A 10% INTERNATIONAL MATERIALS & '",38,155,""QUOTELINEITEMS_20230622_055052_037_33""[""DESCRIPTION"":7],60,2000
DBO,userszzdc36bfae-94fd-477e-8c36-caade8c6efe4/QUOTELINEITEMS/INSERT/20230622_055028_506_DAAHW1_32/stream_20230622_055028_5060.gz,QUOTELINEITEMS_20230622_055028_506_32,2023-06-22 03:50:50.567 -0700,PARTIALLY_LOADED,1924,2000,User character length limit (200) exceeded by string '40% off MSRP on Summer Classics and 50% off Wicker ends July 7th. Tax to be determined. Price for cus',10,154,""QUOTELINEITEMS_20230622_055028_506_32""[""DESCRIPTION"":7],76,2000
DBO,userszzdc36bfae-94fd-477e-8c36-caade8c6efe4/QUOTELINEITEMS/INSERT/20230622_055009_368_8S9YTK_31/stream_20230622_055009_3680.gz,QUOTELINEITEMS_20230622_055009_368_31,2023-06-22 03:50:27.250 -0700,PARTIALLY_LOADED,1930,1998,"User character length limit (200) exceeded by string 'Due to foam shortage, all cushions should be available by July. Santa Barbara teak lounge chairs back'",77,156,""QUOTELINEITEMS_20230622_055009_368_31""[""DESCRIPTION"":7],68,1998
DBO,userszzdc36bfae-94fd-477e-8c36-caade8c6efe4/QUOTELINEITEMS/INSERT/20230622_054947_003_OJW6LX_30/stream_20230622_054947_0030.gz,QUOTELINEITEMS_20230622_054947_003_30,2023-06-22 03:50:08.154 -0700,PARTIALLY_LOADED,1922,1999,User character length limit (200) exceeded by string 'SCPL items: (qty=3) PJ-813102-T (qty=3) PJ-813102-B Wendy Jane fabrics for C110 pillows (qty=4) C110 ',79,151,""QUOTELINEITEMS_20230622_054947_003_30""[""DESCRIPTION"":7],77,1999
