SCHEMA_NAME,FILE_NAME,TABLE_NAME,LAST_LOAD_TIME,STATUS,ROW_COUNT,ROW_PARSED,FIRST_ERROR_MESSAGE,FIRST_ERROR_LINE_NUMBER,FIRST_ERROR_CHARACTER_POSITION,FIRST_ERROR_COL_NAME,ERROR_COUNT,ERROR_LIMIT
DBO,userszzdc36bfae-94fd-477e-8c36-caade8c6efe4/ACCOUNTS/INSERT/20230622_091051_651_37JSVB_75/stream_20230622_091051_6510.gz,ACCOUNTS_20230622_091051_651_75,2023-06-22 07:11:07.512 -0700,PARTIALLY_LOADED,999,1000,User character length limit (5) exceeded by string 'Design Firm',384,550,""ACCOUNTS_20230622_091051_651_75""[""CUSTOMERSUBTYPEOLD"":58],1,1000
DBO,userszzdc36bfae-94fd-477e-8c36-caade8c6efe4/ACCOUNTS/INSERT/20230622_090432_094_LWGUCO_51/stream_20230622_090432_0940.gz,ACCOUNTS_20230622_090432_094_51,2023-06-22 07:04:47.983 -0700,PARTIALLY_LOADED,999,1000,User character length limit (10) exceeded by string 'Country Club',1155,556,""ACCOUNTS_20230622_090432_094_51""[""SECONDARYSEGMENT"":71],1,1000
DBO,userszzdc36bfae-94fd-477e-8c36-caade8c6efe4/ACCOUNTS/INSERT/20230622_090417_677_GKQAMS_50/stream_20230622_090417_6770.gz,ACCOUNTS_20230622_090417_677_50,2023-06-22 07:04:30.058 -0700,PARTIALLY_LOADED,999,1000,User character length limit (5) exceeded by string 'Closed Quote',112,427,""ACCOUNTS_20230622_090417_677_50""[""STATUSINBUSINESS"":50],1,1000
DBO,userszzdc36bfae-94fd-477e-8c36-caade8c6efe4/ACCOUNTS/INSERT/20230622_090349_982_UXUO99_48/stream_20230622_090349_9820.gz,ACCOUNTS_20230622_090349_982_48,2023-06-22 07:04:01.393 -0700,PARTIALLY_LOADED,999,1000,User character length limit (10) exceeded by string 'Multi Family',530,558,""ACCOUNTS_20230622_090349_982_48""[""SECONDARYSEGMENT"":71],1,1000
DBO,userszzdc36bfae-94fd-477e-8c36-caade8c6efe4/ACCOUNTS/INSERT/20230622_090236_044_XRB1LO_43/stream_20230622_090236_0440.gz,ACCOUNTS_20230622_090236_044_43,2023-06-22 07:02:47.821 -0700,PARTIALLY_LOADED,999,1000,User character length limit (10) exceeded by string 'Multi Family',623,412,""ACCOUNTS_20230622_090236_044_43""[""SECONDARYSEGMENT"":71],1,1000
DBO,userszzdc36bfae-94fd-477e-8c36-caade8c6efe4/ACCOUNTS/INSERT/20230622_090221_232_N3KQUJ_42/stream_20230622_090221_2320.gz,ACCOUNTS_20230622_090221_232_42,2023-06-22 07:02:34.051 -0700,PARTIALLY_LOADED,998,1000,User character length limit (10) exceeded by string 'Hospitality',965,523,""ACCOUNTS_20230622_090221_232_42""[""SECONDARYSEGMENT"":71],2,1000
DBO,userszzdc36bfae-94fd-477e-8c36-caade8c6efe4/ACCOUNTS/INSERT/20230622_090032_134_R1BLSV_34/stream_20230622_090032_1340.gz,ACCOUNTS_20230622_090032_134_34,2023-06-22 07:00:44.544 -0700,PARTIALLY_LOADED,999,1000,User character length limit (10) exceeded by string 'Multi Family',148,502,""ACCOUNTS_20230622_090032_134_34""[""SECONDARYSEGMENT"":71],1,1000
DBO,userszzdc36bfae-94fd-477e-8c36-caade8c6efe4/ACCOUNTS/INSERT/20230622_090018_728_UPAHAL_33/stream_20230622_090018_7280.gz,ACCOUNTS_20230622_090018_728_33,2023-06-22 07:00:30.210 -0700,PARTIALLY_LOADED,998,1000,"User character length limit (50) exceeded by string 'location 1 address line 1
location 1 address line 1'",704,620,""ACCOUNTS_20230622_090018_728_33""[""DEALER_ADDRESS1"":101],2,1000
DBO,userszzdc36bfae-94fd-477e-8c36-caade8c6efe4/ACCOUNTS/INSERT/20230622_085949_508_Z7VU7G_31/stream_20230622_085949_5080.gz,ACCOUNTS_20230622_085949_508_31,2023-06-22 07:00:00.672 -0700,PARTIALLY_LOADED,999,1000,"User character length limit (5) exceeded by string 'E-commerce, Design, B2C'",123,1033,""ACCOUNTS_20230622_085949_508_31""[""INDUSTRYTAGS"":160],1,1000
DBO,userszzdc36bfae-94fd-477e-8c36-caade8c6efe4/ACCOUNTS/INSERT/20230622_085805_606_W9DPZT_23/stream_20230622_085805_6060.gz,ACCOUNTS_20230622_085805_606_23,2023-06-22 06:58:17.535 -0700,PARTIALLY_LOADED,999,1000,User character length limit (5) exceeded by string 'Boutique',513,521,""ACCOUNTS_20230622_085805_606_23""[""CUSTOMERSUBTYPEOLD"":58],1,1000
DBO,userszzdc36bfae-94fd-477e-8c36-caade8c6efe4/ACCOUNTS/INSERT/20230622_085727_496_TJHHL5_20/stream_20230622_085727_4960.gz,ACCOUNTS_20230622_085727_496_20,2023-06-22 06:57:38.089 -0700,PARTIALLY_LOADED,999,1000,User character length limit (10) exceeded by string 'DERING HALL',969,546,""ACCOUNTS_20230622_085727_496_20""[""LEADSOURCE"":62],1,1000
DBO,userszzdc36bfae-94fd-477e-8c36-caade8c6efe4/ACCOUNTS/INSERT/20230622_085714_291_UL99D9_19/stream_20230622_085714_2910.gz,ACCOUNTS_20230622_085714_291_19,2023-06-22 06:57:25.641 -0700,PARTIALLY_LOADED,998,1000,User character length limit (5) exceeded by string 'Orders',258,470,""ACCOUNTS_20230622_085714_291_19""[""STATUSINBUSINESS"":50],2,1000
DBO,userszzdc36bfae-94fd-477e-8c36-caade8c6efe4/ACCOUNTS/INSERT/20230622_085635_947_YJ3AXQ_16/stream_20230622_085635_9470.gz,ACCOUNTS_20230622_085635_947_16,2023-06-22 06:56:46.408 -0700,PARTIALLY_LOADED,998,1000,User character length limit (5) exceeded by string 'Independent Designer',942,499,""ACCOUNTS_20230622_085635_947_16""[""CUSTOMERSUBTYPEOLD"":58],2,1000
DBO,userszzdc36bfae-94fd-477e-8c36-caade8c6efe4/ACCOUNTS/INSERT/20230622_085624_393_ZM9EYQ_15/stream_20230622_085624_3930.gz,ACCOUNTS_20230622_085624_393_15,2023-06-22 06:56:33.970 -0700,PARTIALLY_LOADED,998,1000,User character length limit (10) exceeded by string 'Multi Family',167,536,""ACCOUNTS_20230622_085624_393_15""[""SECONDARYSEGMENT"":71],2,1000
DBO,userszzdc36bfae-94fd-477e-8c36-caade8c6efe4/ACCOUNTS/INSERT/20230622_085611_493_543YVQ_14/stream_20230622_085611_4930.gz,ACCOUNTS_20230622_085611_493_14,2023-06-22 06:56:22.485 -0700,PARTIALLY_LOADED,998,1000,User character length limit (5) exceeded by string 'Design Firm',853,493,""ACCOUNTS_20230622_085611_493_14""[""CUSTOMERSUBTYPEOLD"":58],2,1000
DBO,userszzdc36bfae-94fd-477e-8c36-caade8c6efe4/ACCOUNTS/INSERT/20230622_085559_188_E48L12_13/stream_20230622_085559_1880.gz,ACCOUNTS_20230622_085559_188_13,2023-06-22 06:56:09.644 -0700,PARTIALLY_LOADED,999,1000,User character length limit (5) exceeded by string 'Design Firm',314,521,""ACCOUNTS_20230622_085559_188_13""[""CUSTOMERSUBTYPEOLD"":58],1,1000
DBO,userszzdc36bfae-94fd-477e-8c36-caade8c6efe4/ACCOUNTS/INSERT/20230622_085547_996_ZIY80X_12/stream_20230622_085547_9960.gz,ACCOUNTS_20230622_085547_996_12,2023-06-22 06:55:57.381 -0700,PARTIALLY_LOADED,999,1000,User character length limit (5) exceeded by string 'Main Residence',414,522,""ACCOUNTS_20230622_085547_996_12""[""HOMETYPE"":74],1,1000
