Branch,RetailOrderSIC,Source,ShippingInstCode,AddressType,DeliveryType,AddressToUse
301,D,CL-MN,PP,Store,Standard,InvWhControl
301,D,MN,IBD,Store,Standard,InvWhControl
301,D,MV,IBD,Store,Standard,InvWhControl
301,D,PEL2,IBD,Store,Standard,InvWhControl
301,D,PurchaseOrder,(none),(none),(none),InvWhControl
301,PA,CL-MN,PP,SalesOrderValue,SalesOrderValue,SorMaster
301,PA,MN,PP,SalesOrderValue,SalesOrderValue,SorMaster
301,PA,MV,PP,SalesOrderValue,SalesOrderValue,SorMaster
301,PA,PEL2,PP,SalesOrderValue,SalesOrderValue,SorMaster
301,PA,PurchaseOrder,(none),(none),(none),InvWhControl
301,PP,CL-MN,PP,SalesOrderValue,SalesOrderValue,SorMaster
301,PP,MN,PP,SalesOrderValue,SalesOrderValue,SorMaster
301,PP,MV,PP,SalesOrderValue,SalesOrderValue,SorMaster
301,PP,PEL2,PP,SalesOrderValue,SalesOrderValue,SorMaster
301,PP,PurchaseOrder,(none),(none),(none),InvWhControl
301,PU-ST,CL-MN,PP,Store,Standard,SalBranch
301,PU-ST,MN,IBD,Store,Standard,SalBranch
301,PU-ST,MV,IBD,Store,Standard,SalBranch
301,PU-ST,PEL2,IBD,Store,Standard,SalBranch
301,PU-ST,PurchaseOrder,(none),(none),(none),InvWhControl
301,PU-WH,CL-MN,PP,Store,Standard,InvWhControl
301,PU-WH,MN,IBD,Store,Standard,InvWhControl
301,PU-WH,MV,IBD,Store,Standard,InvWhControl
301,PU-WH,PEL2,IBD,Store,Standard,InvWhControl
301,PU-WH,PurchaseOrder,(none),(none),(none),InvWhControl
302,D,CL-MN,PP,Store,Standard,InvWhControl
302,D,MN,IBD,Store,Standard,InvWhControl
302,D,MV,IBD,Store,Standard,InvWhControl
302,D,PEL2,IBD,Store,Standard,InvWhControl
302,D,PurchaseOrder,(none),(none),(none),InvWhControl
302,PA,CL-MN,PP,SalesOrderValue,SalesOrderValue,SorMaster
302,PA,MN,PP,SalesOrderValue,SalesOrderValue,SorMaster
302,PA,MV,PP,SalesOrderValue,SalesOrderValue,SorMaster
302,PA,PEL2,PP,SalesOrderValue,SalesOrderValue,SorMaster
302,PA,PurchaseOrder,(none),(none),(none),InvWhControl
302,PP,CL-MN,PP,SalesOrderValue,SalesOrderValue,SorMaster
302,PP,MN,PP,SalesOrderValue,SalesOrderValue,SorMaster
302,PP,MV,PP,SalesOrderValue,SalesOrderValue,SorMaster
302,PP,PEL2,PP,SalesOrderValue,SalesOrderValue,SorMaster
302,PP,PurchaseOrder,(none),(none),(none),InvWhControl
302,PU-ST,CL-MN,PP,Store,Standard,SalBranch
302,PU-ST,MN,IBD,Store,Standard,SalBranch
302,PU-ST,MV,IBD,Store,Standard,SalBranch
302,PU-ST,PEL2,IBD,Store,Standard,SalBranch
302,PU-ST,PurchaseOrder,(none),(none),(none),InvWhControl
302,PU-WH,CL-MN,PP,Store,Standard,InvWhControl
302,PU-WH,MN,IBD,Store,Standard,InvWhControl
302,PU-WH,MV,IBD,Store,Standard,InvWhControl
302,PU-WH,PEL2,IBD,Store,Standard,InvWhControl
302,PU-WH,PurchaseOrder,(none),(none),(none),InvWhControl
303,D,CL-MN,PP,3PL,Standard,InvWhControl
303,D,MN,SC,3PL,Standard,InvWhControl
303,D,MV,SC,3PL,Standard,InvWhControl
303,D,PEL2,SC,3PL,Standard,InvWhControl
303,D,PurchaseOrder,(none),(none),(none),InvWhControl
303,PA,CL-MN,PP,SalesOrderValue,SalesOrderValue,SorMaster
303,PA,MN,PP,SalesOrderValue,SalesOrderValue,SorMaster
303,PA,MV,PP,SalesOrderValue,SalesOrderValue,SorMaster
303,PA,PEL2,PP,SalesOrderValue,SalesOrderValue,SorMaster
303,PA,PurchaseOrder,(none),(none),(none),InvWhControl
303,PP,CL-MN,PP,SalesOrderValue,SalesOrderValue,SorMaster
303,PP,MN,PP,SalesOrderValue,SalesOrderValue,SorMaster
303,PP,MV,PP,SalesOrderValue,SalesOrderValue,SorMaster
303,PP,PEL2,PP,SalesOrderValue,SalesOrderValue,SorMaster
303,PP,PurchaseOrder,(none),(none),(none),InvWhControl
303,PU-ST,CL-MN,PP,Store,Standard,SalBranch
303,PU-ST,MN,SC,Store,Standard,SalBranch
303,PU-ST,MV,SC,Store,Standard,SalBranch
303,PU-ST,PEL2,SC,Store,Standard,SalBranch
303,PU-ST,PurchaseOrder,(none),(none),(none),InvWhControl
303,PU-WH,CL-MN,PP,3PL,Standard,InvWhControl
303,PU-WH,MN,SC,3PL,Standard,InvWhControl
303,PU-WH,MV,SC,3PL,Standard,InvWhControl
303,PU-WH,PEL2,SC,3PL,Standard,InvWhControl
303,PU-WH,PurchaseOrder,(none),(none),(none),InvWhControl
304,D,CL-MN,PP,3PL,Standard,InvWhControl
304,D,MN,SC,3PL,Standard,InvWhControl
304,D,MV,SC,3PL,Standard,InvWhControl
304,D,PEL2,SC,3PL,Standard,InvWhControl
304,D,PurchaseOrder,(none),(none),(none),InvWhControl
304,PA,CL-MN,PP,SalesOrderValue,SalesOrderValue,SorMaster
304,PA,MN,PP,SalesOrderValue,SalesOrderValue,SorMaster
304,PA,MV,PP,SalesOrderValue,SalesOrderValue,SorMaster
304,PA,PEL2,PP,SalesOrderValue,SalesOrderValue,SorMaster
304,PA,PurchaseOrder,(none),(none),(none),InvWhControl
304,PP,CL-MN,PP,SalesOrderValue,SalesOrderValue,SorMaster
304,PP,MN,PP,SalesOrderValue,SalesOrderValue,SorMaster
304,PP,MV,PP,SalesOrderValue,SalesOrderValue,SorMaster
304,PP,PEL2,PP,SalesOrderValue,SalesOrderValue,SorMaster
304,PP,PurchaseOrder,(none),(none),(none),InvWhControl
304,PU-ST,CL-MN,PP,Store,Standard,SalBranch
304,PU-ST,MN,SC,Store,Standard,SalBranch
304,PU-ST,MV,SC,Store,Standard,SalBranch
304,PU-ST,PEL2,SC,Store,Standard,SalBranch
304,PU-ST,PurchaseOrder,(none),(none),(none),InvWhControl
304,PU-WH,CL-MN,PP,3PL,Standard,InvWhControl
304,PU-WH,MN,SC,3PL,Standard,InvWhControl
304,PU-WH,MV,SC,3PL,Standard,InvWhControl
304,PU-WH,PEL2,SC,3PL,Standard,InvWhControl
304,PU-WH,PurchaseOrder,(none),(none),(none),InvWhControl
305,D,CL-MN,PP,3PL,Standard,InvWhControl
305,D,MN,SC,3PL,Standard,InvWhControl
305,D,MV,SC,3PL,Standard,InvWhControl
305,D,PEL2,SC,3PL,Standard,InvWhControl
305,D,PurchaseOrder,(none),(none),(none),InvWhControl
305,PA,CL-MN,PP,SalesOrderValue,SalesOrderValue,SorMaster
305,PA,MN,PP,SalesOrderValue,SalesOrderValue,SorMaster
305,PA,MV,PP,SalesOrderValue,SalesOrderValue,SorMaster
