ShippingInstrs,ShippingInstrsCod
PREPAID AND ADD,GF
CUSTOMER PICKUP,IND
3P BILL,TC
 ,NONE
CUSTOMER ROUTED IN ADVANCE,CRA
PREPAID AND ADD,1
 ,d
CUSTOMER PICKUP,IB
CUSTOMER PICKUP,PUY
 ,pp
WITH SC TRUCKLOAD,SC
CUSTOMER ROUTING,RMD
PREPAID AND ADD,TC
PREPAID FREIGHT,PP
CUSTOMER PICKUP, 
 ,ibd
WITH SC TRUCKLOAD, 
PREPAID AND ADD,3FF
DIRECT CONTAINER,CT
CUSTOMER ROUTING,Q
PRE PAID FREIGHT,IQ
INVOICE ONLY,I
 ,PA
DELIVER,DELIVE
WCDC PICKUP,WC
DELIVER,OBD
CUSTOMER ROUTING, 
PREPAID AND ADD,pp
PREPAID AND ADD, FF
SC31,NONE
FREIGHT COLLECT,FC
PREPAID AND ADD,3P
CUSTOMER PICKUP,ibd
IN BUILDING DELIVERY,IBD
CUSTOMER PICKUP,1
 , 
 ,pu
 ,DROP
IN BUILDING DELIVERY,Standa
PELHAM PICK UP,PU
IBD,NONE
WCDC PICKUP, 
PREPAID AND ADD,MM
CUSTOMER PICKUP,PU
FREE ASTRAY,FA
PREPAID AND ADD,P
PRE PAID FREIGHT, 
INVOICE ONLY, 
PREPAID AND ADD,FFA
3P BILL,NN
3P BILL,3P
PREPAID AND ADD,i
Free Freight,FF
 ,IB
WITH SC TRUCKLOAD,DC
PREPAID AND ADD,NN
FREIGHT COLLECT,PP
PRE PAID FREIGHT,PP
PREPAID AND ADD, 
PREPAID AND ADD,ff
PRE PAID FREIGHT,pp
 ,SC31
OUTLET DELIVERY,NONE
 ,IND
PREPAID AND ADD,PA
CUSTOMER ROUTING,3PB
IN BUILDING DELIVERY, 
DELIVER,D
 ,PU
CUSTOMER ROUTING,CR
3P BILL, 
DELIVER, 
