SalesOrder,Order Date,OrderStatus
200-1100046,6/14/2022,9
200-1100052,6/14/2022,1
200-1100369,6/20/2022,1
200-1100381,6/20/2022,9
200-1100446,6/21/2022,1
200-1100450,6/21/2022,1
200-1102025,7/26/2022,1
200-1102134,7/28/2022,9
200-1102209,7/31/2022,1
200-1104573,9/12/2022,1
200-1104578,9/12/2022,1
200-1104579,9/12/2022,1
200-1104584,9/12/2022,9
200-1104587,9/12/2022,1
200-1104605,9/12/2022,1
200-1104719,9/14/2022,1
200-1104723,9/14/2022,1
200-1104727,9/14/2022,1
200-1104743,9/14/2022,\
200-1104747,9/14/2022,1
200-1104754,9/14/2022,F
200-8011946,6/21/2022,9
200-8011947,6/21/2022,9
200-8011948,6/21/2022,9
200-8011949,6/21/2022,9
200-8011950,6/21/2022,9
200-8011952,6/21/2022,8
200-8012290,7/26/2022,8
200-8012668,9/11/2022,9
200-8012669,9/12/2022,9
200-8012711,9/14/2022,\
200-8012712,9/14/2022,\
200-8012713,9/14/2022,9
200-8012715,9/14/2022,9
200-8012716,9/14/2022,9
200-8012717,9/14/2022,9
200-8012718,9/14/2022,9
200-8012719,9/14/2022,9
200-8012720,9/14/2022,9
200-8012721,9/14/2022,9
200-8012722,9/14/2022,9
200-8012723,9/14/2022,9
200-8012724,9/14/2022,9
200-8012725,9/14/2022,9
200-8012726,9/14/2022,9
200-8012727,9/14/2022,9
200-8012728,9/14/2022,9
200-8012729,9/14/2022,9
200-8012730,9/14/2022,9
200-8012731,9/14/2022,9
200-8012732,9/14/2022,9
200-8012733,9/14/2022,9
200-8012734,9/14/2022,9
200-8012735,9/14/2022,9
200-8012736,9/14/2022,9
200-8012737,9/14/2022,8
210-1019651,6/20/2022,9
210-1020137,7/28/2022,9
210-1020142,7/28/2022,1
210-1020795,9/12/2022,\
210-1020796,9/12/2022,1
210-1020798,9/12/2022,1
210-1020846,9/14/2022,1
210-8002790,6/14/2022,9
210-8002977,9/12/2022,9
210-8002982,9/14/2022,9
210-8002983,9/14/2022,9
210-8002984,9/14/2022,\
220-1158291,6/14/2022,1
220-1158306,6/14/2022,\
220-1161684,7/26/2022,9
220-1161895,7/28/2022,9
220-1161899,7/28/2022,9
220-1161908,7/28/2022,9
220-1162063,7/31/2022,9
220-1162065,7/31/2022,9
220-1163966,8/24/2022,\
220-1165341,9/11/2022,9
220-1165342,9/11/2022,1
220-1165343,9/12/2022,9
220-1165344,9/12/2022,9
220-1165346,9/12/2022,9
220-1165348,9/12/2022,9
220-1165349,9/12/2022,9
220-1165352,9/12/2022,9
220-1165354,9/12/2022,9
220-1165358,9/12/2022,9
220-1165359,9/12/2022,1
220-1165360,9/12/2022,9
220-1165379,9/12/2022,9
220-1165383,9/12/2022,9
220-1165385,9/12/2022,9
220-1165386,9/12/2022,9
220-1165398,9/12/2022,9
220-1165403,9/12/2022,9
220-1165404,9/12/2022,9
220-1165407,9/12/2022,9
220-1165413,9/12/2022,9
220-1165624,9/14/2022,1
220-1171601,11/28/2022,1
220-1171602,11/28/2022,S
220-1171603,11/28/2022,F
220-1171604,11/28/2022,F
220-1171605,11/28/2022,F
220-1171606,11/28/2022,F
220-1171607,11/28/2022,F
220-8015425,6/14/2022,9
220-8015503,6/20/2022,9
220-8015505,6/20/2022,9
220-8016114,7/26/2022,9
220-8016148,7/28/2022,9
220-8016764,9/11/2022,9
220-8016765,9/12/2022,9
220-8016766,9/12/2022,9
220-8016769,9/12/2022,9
220-8016772,9/12/2022,9
220-8016773,9/12/2022,9
220-8016774,9/12/2022,9
220-8016776,9/12/2022,9
220-8016777,9/12/2022,9
220-8016778,9/12/2022,9
220-8016779,9/12/2022,9
220-8016781,9/12/2022,9
220-8016783,9/12/2022,9
220-8016784,9/12/2022,9
220-8016786,9/12/2022,9
220-8016787,9/12/2022,9
220-8016788,9/12/2022,9
220-8016789,9/12/2022,9
220-8016790,9/12/2022,9
220-8016794,9/12/2022,9
220-8016850,9/14/2022,9
220-8016851,9/14/2022,9
220-8016852,9/14/2022,9
220-8016853,9/14/2022,9
220-8016854,9/14/2022,9
220-8016855,9/14/2022,9
220-8016856,9/14/2022,9
220-8016857,9/14/2022,9
220-8016858,9/14/2022,9
220-8016859,9/14/2022,9
220-8016860,9/14/2022,9
220-8016861,9/14/2022,9
220-8016862,9/14/2022,9
220-8016863,9/14/2022,9
220-8016864,9/14/2022,9
220-8016865,9/14/2022,9
220-8016866,9/14/2022,9
220-8016867,9/14/2022,9
220-8016868,9/14/2022,9
220-8016869,9/14/2022,9
220-8016870,9/14/2022,9
220-8016871,9/14/2022,9
220-8016872,9/14/2022,9
220-8016873,9/14/2022,9
220-8016874,9/14/2022,9
220-8016875,9/14/2022,9
220-8016876,9/14/2022,9
220-8016877,9/14/2022,9
220-8016878,9/14/2022,9
220-8016879,9/14/2022,9
220-8016880,9/14/2022,9
220-8016881,9/14/2022,9
220-8016882,9/14/2022,9
220-8016883,9/14/2022,9
220-8016884,9/14/2022,9
220-8016885,9/14/2022,9
220-8016886,9/14/2022,9
220-8016887,9/14/2022,9
220-8016888,9/14/2022,9
220-8016889,9/14/2022,9
220-8016890,9/14/2022,9
220-8016891,9/14/2022,9
220-8016892,9/14/2022,9
220-8016893,9/14/2022,9
240-1002651,9/14/2022,\
250-1002616,6/14/2022,9
250-1002618,6/14/2022,1
250-1003692,9/12/2022,1
250-8001233,9/14/2022,9
250-8001234,9/14/2022,9
250-8001235,9/14/2022,9
250-8001236,9/14/2022,9
250-8001237,9/14/2022,9
250-8001238,9/14/2022,9
250-8001239,9/14/2022,9
250-8001240,9/14/2022,9
250-8001241,9/14/2022,9
260-1004698,8/24/2022,1
260-1005213,9/12/2022,1
260-1005218,9/12/2022,9
260-1005248,9/14/2022,1
301-1011276,1/22/2022,9
301-1011281,1/22/2022,9
301-1011353,2/5/2022,9
301-1011354,2/5/2022,9
301-1011403,2/14/2022,9
301-1011528,3/9/2022,9
301-1011539,3/10/2022,9
301-1011746,4/13/2022,9
301-1011753,4/15/2022,9
301-1011850,5/3/2022,9
301-1011875,5/7/2022,9
301-1011936,5/16/2022,9
301-1011982,5/24/2022,9
301-1011983,5/24/2022,9
301-1011984,5/24/2022,9
301-1012004,5/27/2022,9
301-1012013,5/28/2022,9
301-1012146,6/16/2022,9
301-1012149,6/16/2022,9
301-1012179,6/20/2022,9
301-1012219,6/26/2022,9
301-1012316,7/12/2022,2
301-1012320,7/12/2022,9
301-1012321,7/13/2022,9
301-1012348,7/16/2022,9
301-1012388,7/25/2022,9
301-1012401,7/27/2022,9
301-1012421,7/31/2022,9
301-1012509,8/16/2022,9
301-1012627,8/29/2022,9
301-1012649,9/1/2022,9
301-1012683,9/3/2022,9
301-1012719,9/7/2022,9
301-1012736,9/9/2022,9
301-1012737,9/9/2022,9
301-1012760,9/14/2022,9
301-1012761,9/14/2022,9
301-1012762,9/14/2022,9
301-1012763,9/14/2022,9
301-1012767,9/15/2022,9
301-1012768,9/15/2022,9
301-1012769,9/15/2022,9
301-1012770,9/15/2022,9
301-1012771,9/15/2022,9
301-1012772,9/15/2022,9
301-1012773,9/15/2022,9
301-1012793,9/17/2022,9
301-1012806,9/20/2022,9
301-1012811,9/20/2022,9
301-1012839,9/23/2022,9
301-1012875,9/29/2022,9
301-1012900,10/1/2022,9
301-1012924,10/7/2022,9
301-1012925,10/7/2022,9
301-1012935,10/8/2022,9
301-1012936,10/8/2022,9
301-1012937,10/8/2022,9
301-1012950,10/13/2022,9
301-1013017,10/26/2022,9
301-1013145,11/12/2022,9
301-1013198,11/17/2022,9
301-1013253,11/23/2022,9
301-8000858,7/6/2022,9
302-1018073,1/2/2022,9
302-1018074,1/2/2022,9
302-1018205,1/29/2022,9
302-1018207,1/29/2022,9
302-1018208,1/29/2022,9
302-1018214,1/31/2022,9
302-1018215,1/31/2022,9
302-1018216,1/31/2022,9
302-1018260,2/5/2022,9
302-1018271,2/7/2022,9
302-1018274,2/7/2022,9
302-1018303,2/12/2022,9
302-1018547,2/26/2022,9
302-1018562,3/2/2022,9
302-1018630,3/10/2022,9
302-1018693,3/18/2022,9
302-1018722,3/21/2022,9
302-1018738,3/23/2022,9
302-1018740,3/23/2022,9
302-1018747,3/24/2022,9
302-1018750,3/24/2022,9
302-1018850,4/6/2022,9
302-1018955,4/21/2022,9
302-1018992,4/22/2022,9
302-1019007,4/23/2022,9
302-1019080,4/25/2022,9
302-1019209,5/11/2022,9
302-1019222,5/13/2022,9
302-1019254,5/18/2022,9
302-1019479,5/29/2022,9
302-1019521,6/2/2022,9
302-1019593,6/14/2022,9
302-1019615,6/16/2022,9
302-1019652,6/21/2022,\
302-1019787,7/8/2022,9
302-1019884,7/23/2022,9
302-1019923,7/26/2022,9
302-1019935,7/28/2022,9
302-1019955,7/31/2022,9
302-1019956,7/31/2022,9
302-1019957,7/31/2022,9
302-1019958,7/31/2022,2
302-1020254,8/24/2022,1
302-1020294,8/27/2022,9
302-1020348,9/2/2022,9
302-1020419,9/7/2022,9
302-1020420,9/8/2022,9
302-1020454,9/14/2022,9
302-1020455,9/14/2022,9
302-1020456,9/14/2022,9
302-1020457,9/14/2022,\
302-1020498,9/26/2022,9
302-1020568,10/11/2022,9
302-1020570,10/11/2022,9
302-1020589,10/17/2022,1
302-1020590,10/17/2022,9
302-1020675,10/31/2022,9
302-1020904,11/13/2022,9
302-1020982,11/21/2022,9
302-8000724,6/14/2022,\
303-1010823,2/14/2022,\
303-1010868,2/25/2022,9
303-1011336,5/23/2022,9
303-1011359,5/28/2022,9
303-1011688,7/31/2022,9
303-1011689,7/31/2022,1
