SalesOrder,Time Stamp,CustomQueueID,Queue Status
304-1011293,12/8/2022 9:39,897911cc-770e-11ed-952e-02d962f59f52,2
304-1011294,12/8/2022 9:39,8993a316-770e-11ed-90ca-02d962f59f52,2
304-1011295,12/8/2022 9:39,89ad009a-770e-11ed-ae55-02d962f59f52,2
304-1011296,12/8/2022 9:39,89c67c50-770e-11ed-95c1-02d962f59f52,2
304-1011297,12/8/2022 9:39,89e0dafa-770e-11ed-b1d6-02d962f59f52,2
304-1011298,12/8/2022 9:39,89fa679a-770e-11ed-9bc0-02d962f59f52,2
304-1011299,12/8/2022 9:39,8a141b22-770e-11ed-90fd-02d962f59f52,2
304-1011300,12/8/2022 9:39,8a2f0784-770e-11ed-92f9-02d962f59f52,2
304-8000876,12/8/2022 9:40,aad15d48-770e-11ed-adef-06156affe90a,2
200-1107906,12/8/2022 9:53,84c72f54-7710-11ed-b712-02d06230d2dc,2
200-1107907,12/8/2022 9:53,84e30580-7710-11ed-a483-02d06230d2dc,2
200-1107908,12/8/2022 9:53,85010c4c-7710-11ed-aee9-02d06230d2dc,2
200-1107909,12/8/2022 9:53,851fc880-7710-11ed-a89a-02d06230d2dc,2
200-1107910,12/8/2022 9:53,853d6944-7710-11ed-871a-02d06230d2dc,2
200-8013529,12/8/2022 9:53,855b4b26-7710-11ed-935f-02d06230d2dc,2
200-8013530,12/8/2022 9:53,857a17d6-7710-11ed-b421-02d06230d2dc,2
200-8013531,12/8/2022 9:53,85974784-7710-11ed-9523-02d06230d2dc,2
200-8013532,12/8/2022 9:53,85b4e80c-7710-11ed-9eb7-02d06230d2dc,2
200-8013533,12/8/2022 9:53,85d02f04-7710-11ed-8e27-02d06230d2dc,2
220-1172509,12/8/2022 9:53,8839f8ba-7710-11ed-bda8-02d06230d2dc,2
220-1172511,12/8/2022 9:53,88567c1a-7710-11ed-a7b7-02d06230d2dc,2
220-1172516,12/8/2022 9:53,8875022a-7710-11ed-a848-02d06230d2dc,2
220-1172518,12/8/2022 9:53,88939d8e-7710-11ed-a26e-02d06230d2dc,2
220-1172519,12/8/2022 9:53,88b2f1fc-7710-11ed-950d-02d06230d2dc,2
220-1172520,12/8/2022 9:53,88cf7250-7710-11ed-ae45-02d06230d2dc,2
220-1172521,12/8/2022 9:53,88eb9048-7710-11ed-b347-02d06230d2dc,2
220-1172522,12/8/2022 9:53,8908258c-7710-11ed-b755-02d06230d2dc,2
220-1172523,12/8/2022 9:54,89ed5346-7710-11ed-ac38-069eed229002,2
220-1172524,12/8/2022 9:54,8a0cccb2-7710-11ed-83cd-069eed229002,2
220-1172525,12/8/2022 9:54,8a27dfb6-7710-11ed-b249-069eed229002,2
220-1172526,12/8/2022 9:54,8a44394a-7710-11ed-b8b4-069eed229002,2
220-1172527,12/8/2022 9:54,8a6247dc-7710-11ed-8e50-069eed229002,2
220-1172528,12/8/2022 9:54,8a7d8e66-7710-11ed-bbe7-069eed229002,2
220-8018264,12/8/2022 9:54,8a9a4790-7710-11ed-a293-069eed229002,2
220-8018265,12/8/2022 9:54,8ab5661a-7710-11ed-aad3-069eed229002,2
220-8018266,12/8/2022 9:54,8ad342a2-7710-11ed-8371-069eed229002,2
220-8018267,12/8/2022 9:54,8af1a5f8-7710-11ed-b832-069eed229002,2
220-8018268,12/8/2022 9:54,8b0e89f2-7710-11ed-8ec9-069eed229002,2
220-8018269,12/8/2022 9:54,8b2c7eda-7710-11ed-ad34-069eed229002,2
220-8018270,12/8/2022 9:54,8b49394e-7710-11ed-8195-069eed229002,2
260-1006853,12/8/2022 9:54,8b9dae3e-7710-11ed-8596-069eed229002,2
260-8001133,12/8/2022 9:54,8bbb8cec-7710-11ed-adff-069eed229002,2
220-1172510,12/8/2022 10:02,a86868aa-7711-11ed-8695-06156affe90a,2
220-8018271,12/8/2022 10:02,a885d85e-7711-11ed-a4d6-06156affe90a,2
220-8018272,12/8/2022 10:02,a8a3c97c-7711-11ed-b145-06156affe90a,2
302-1021102,12/8/2022 10:02,a9186192-7711-11ed-962b-06156affe90a,2
304-1011297,12/8/2022 10:02,a932efbc-7711-11ed-b80c-06156affe90a,2
200-1107909,12/8/2022 10:16,b9a34fa2-7713-11ed-8bdb-06156affe90a,2
210-1021914,12/8/2022 10:16,b9be8cb8-7713-11ed-a3dc-06156affe90a,2
210-8003208,12/8/2022 10:16,b9d9d0f4-7713-11ed-b84a-06156affe90a,2
220-1172509,12/8/2022 10:16,ba2c7ba6-7713-11ed-aaa9-06156affe90a,2
220-1172510,12/8/2022 10:16,ba47cd5c-7713-11ed-abd9-06156affe90a,5
220-1172518,12/8/2022 10:16,ba63f93c-7713-11ed-b5d4-06156affe90a,2
220-8018273,12/8/2022 10:16,ba7ef52a-7713-11ed-8578-06156affe90a,2
220-8018274,12/8/2022 10:16,ba9a135a-7713-11ed-b2d2-06156affe90a,2
240-1003180,12/8/2022 10:16,bad12020-7713-11ed-8398-06156affe90a,2
240-1003181,12/8/2022 10:16,baed43e0-7713-11ed-9939-06156affe90a,2
260-1006854,12/8/2022 10:16,bb27e1da-7713-11ed-aacf-06156affe90a,2
301-1013337,12/8/2022 10:16,bb436f5e-7713-11ed-a37d-06156affe90a,2
301-1013340,12/8/2022 10:16,bb5f2140-7713-11ed-b52b-06156affe90a,2
302-1021102,12/8/2022 10:16,bb7a35c0-7713-11ed-8f3c-06156affe90a,5
304-1011297,12/8/2022 10:16,bb95d064-7713-11ed-9202-06156affe90a,5
305-1009759,12/8/2022 10:18,fc646c9a-7713-11ed-8df3-06156affe90a,2
305-1009760,12/8/2022 10:18,fc80ccb4-7713-11ed-96f7-06156affe90a,2
305-1009761,12/8/2022 10:18,fc9cebce-7713-11ed-a24e-06156affe90a,2
305-1009762,12/8/2022 10:18,fcb89090-7713-11ed-ac45-06156affe90a,2
305-1009763,12/8/2022 10:18,fcd4e6e6-7713-11ed-965d-06156affe90a,2
305-1009764,12/8/2022 10:18,fcf15da8-7713-11ed-8be6-06156affe90a,2
305-1009765,12/8/2022 10:18,fd0d0166-7713-11ed-9744-06156affe90a,2
305-1009766,12/8/2022 10:18,fdd091e4-7713-11ed-8a44-02d06230d2dc,2
305-1009767,12/8/2022 10:18,fdf1ed1c-7713-11ed-9dd2-02d06230d2dc,2
305-8000594,12/8/2022 10:19,12a80534-7714-11ed-8247-02d962f59f52,2
305-8000595,12/8/2022 10:19,12c4a7ca-7714-11ed-b135-02d962f59f52,2
200-1107911,12/8/2022 10:31,cfb75458-7715-11ed-819b-02d06230d2dc,2
210-8003208,12/8/2022 10:31,cfd4ca7e-7715-11ed-b60f-02d06230d2dc,2
220-1172529,12/8/2022 10:31,d02e1908-7715-11ed-803c-02d06230d2dc,2
220-8018275,12/8/2022 10:31,d04c135e-7715-11ed-ba8a-02d06230d2dc,2
230-1009504,12/8/2022 10:31,d06a44aa-7715-11ed-9048-02d06230d2dc,2
200-1107906,12/8/2022 10:46,ead40d38-7717-11ed-8873-02d06230d2dc,2
200-1107907,12/8/2022 10:46,eaf3efcc-7717-11ed-89d8-02d06230d2dc,2
200-1107910,12/8/2022 10:46,eb1349ee-7717-11ed-af11-02d06230d2dc,2
200-1107912,12/8/2022 10:46,eb32583e-7717-11ed-abd9-02d06230d2dc,2
200-1107913,12/8/2022 10:46,eb50724c-7717-11ed-b6ef-02d06230d2dc,2
220-1172526,12/8/2022 10:46,ec27880e-7717-11ed-8bb1-02d06230d2dc,2
220-1172530,12/8/2022 10:46,ec45beaa-7717-11ed-b7cb-02d06230d2dc,2
