SalesOrder,OrderStatus,OrderDate,ReqShipDate,InterWhSale,
200-1107905,4,12/7/2022,1/18/2023,,#N/A
200-1107906,1,12/8/2022,1/19/2023,,#N/A
200-1107907,1,12/8/2022,1/19/2023,,#N/A
200-1107908,1,12/8/2022,1/19/2023,,#N/A
200-1107909,1,12/8/2022,1/19/2023,,#N/A
200-1107910,1,12/8/2022,1/19/2023,,#N/A
200-1107911,S,12/8/2022,1/20/2023,,#N/A
200-1107912,S,12/8/2022,1/20/2023,,#N/A
200-1107913,S,12/8/2022,1/20/2023,,#N/A
200-1107914,F,12/8/2022,1/19/2023,,#N/A
200-1107915,1,12/8/2022,1/19/2023,,#N/A
200-1107916,1,12/8/2022,1/19/2023,,#N/A
200-1107917,\,12/8/2022,1/19/2023,,#N/A
200-1107918,1,12/8/2022,1/19/2023,,#N/A
200-1107919,1,12/8/2022,1/19/2023,,#N/A
200-1107920,1,12/8/2022,1/19/2023,,#N/A
200-1107921,1,12/8/2022,1/19/2023,,#N/A
200-1107922,1,12/8/2022,1/19/2023,,#N/A
200-1107923,S,12/8/2022,1/20/2023,,#N/A
200-1107924,1,12/8/2022,1/19/2023,,#N/A
200-1107925,1,12/8/2022,1/19/2023,,#N/A
200-1107926,S,12/8/2022,1/20/2023,,#N/A
200-1107927,1,12/8/2022,1/19/2023,,#N/A
200-1107928,1,12/8/2022,1/19/2023,,#N/A
200-1107929,1,12/8/2022,1/19/2023,,#N/A
200-1107930,1,12/8/2022,1/19/2023,,#N/A
200-1107931,1,12/8/2022,1/19/2023,,#N/A
200-1107932,1,12/8/2022,1/19/2023,,#N/A
200-1107933,F,12/8/2022,1/19/2023,,#N/A
200-1107934,F,12/8/2022,1/19/2023,,#N/A
200-1107935,1,12/8/2022,1/19/2023,,#N/A
200-1107936,F,12/8/2022,1/19/2023,,#N/A
200-1107937,1,12/8/2022,1/19/2023,,#N/A
200-1107938,1,12/8/2022,1/19/2023,,#N/A
200-1107939,F,12/8/2022,1/19/2023,,#N/A
200-1107940,F,12/8/2022,1/19/2023,,#N/A
200-1107941,F,12/8/2022,1/19/2023,,#N/A
200-1107942,\,12/8/2022,1/19/2023,,#N/A
200-1107943,1,12/8/2022,1/19/2023,,#N/A
200-8013528,8,12/8/2022,1/19/2023,,#N/A
200-8013529,8,12/8/2022,1/19/2023,,#N/A
200-8013530,8,12/8/2022,1/19/2023,,#N/A
200-8013531,8,12/8/2022,1/19/2023,,#N/A
200-8013532,8,12/8/2022,1/19/2023,,#N/A
200-8013533,8,12/8/2022,1/19/2023,,#N/A
200-8013534,8,12/8/2022,1/19/2023,,#N/A
200-8013535,8,12/8/2022,1/19/2023,,#N/A
200-8013536,8,12/8/2022,1/19/2023,,#N/A
200-8013537,8,12/8/2022,1/19/2023,,#N/A
200-8013538,8,12/8/2022,1/19/2023,,#N/A
210-8003208,8,12/8/2022,1/19/2023,,#N/A
210-8003209,8,12/8/2022,1/19/2023,,#N/A
210-8003210,8,12/8/2022,1/19/2023,,#N/A
210-8003211,9,12/8/2022,1/19/2023,,#N/A
210-8003212,9,12/8/2022,1/19/2023,,#N/A
210-1021914,1,12/8/2022,1/19/2023,,#N/A
210-1021915,1,12/8/2022,1/19/2023,,#N/A
210-1021916,4,12/8/2022,1/19/2023,,#N/A
210-1021917,1,12/8/2022,1/19/2023,,#N/A
210-1021918,\,12/8/2022,1/19/2023,,#N/A
210-1021919,1,12/8/2022,1/20/2023,,#N/A
210-1021920,1,12/8/2022,1/20/2023,,#N/A
210-1021921,1,12/8/2022,1/20/2023,,#N/A
210-1021922,1,12/8/2022,1/19/2023,,#N/A
210-1021923,1,12/8/2022,1/20/2023,,#N/A
210-1021924,1,12/8/2022,1/19/2023,,#N/A
210-1021925,F,12/8/2022,1/19/2023,,#N/A
210-1021926,1,12/8/2022,1/19/2023,,#N/A
210-1021927,F,12/8/2022,1/19/2023,,#N/A
210-1021928,F,12/8/2022,1/19/2023,,#N/A
210-1021929,1,12/8/2022,1/20/2023,,#N/A
210-1021930,1,12/8/2022,1/20/2023,,#N/A
210-1021931,F,12/8/2022,1/19/2023,,#N/A
220-1172507,1,12/7/2022,1/19/2023,,#N/A
220-1172508,1,12/7/2022,1/19/2023,,#N/A
220-1172509,1,12/7/2022,1/19/2023,,#N/A
220-1172510,S,12/7/2022,1/20/2023,,#N/A
220-1172511,1,12/7/2022,1/19/2023,,#N/A
220-1172512,1,12/7/2022,1/19/2023,,#N/A
220-1172513,1,12/8/2022,1/19/2023,,#N/A
220-1172514,1,12/8/2022,1/19/2023,,#N/A
220-1172515,S,12/8/2022,1/20/2023,,#N/A
220-1172516,1,12/8/2022,1/19/2023,,#N/A
220-1172517,1,12/8/2022,1/19/2023,,#N/A
220-1172518,1,12/8/2022,1/19/2023,,#N/A
220-1172519,1,12/8/2022,1/19/2023,,#N/A
220-1172520,1,12/8/2022,1/19/2023,,#N/A
220-1172521,1,12/8/2022,1/19/2023,,#N/A
220-1172522,1,12/8/2022,1/19/2023,,#N/A
220-1172523,1,12/8/2022,1/19/2023,,#N/A
220-1172524,1,12/8/2022,1/19/2023,,#N/A
220-1172525,1,12/8/2022,1/19/2023,,#N/A
220-1172526,1,12/8/2022,1/19/2023,,#N/A
220-1172527,S,12/8/2022,1/20/2023,,#N/A
220-1172528,4,12/8/2022,1/19/2023,,#N/A
220-1172529,1,12/8/2022,1/19/2023,,#N/A
220-1172530,1,12/8/2022,1/19/2023,,#N/A
220-1172531,1,12/8/2022,1/19/2023,,#N/A
220-1172532,1,12/8/2022,1/19/2023,,#N/A
220-1172533,1,12/8/2022,1/19/2023,,#N/A
220-1172534,1,12/8/2022,1/19/2023,,#N/A
220-1172535,1,12/8/2022,1/19/2023,,#N/A
220-1172536,1,12/8/2022,1/19/2023,,#N/A
220-1172537,S,12/8/2022,1/20/2023,,#N/A
220-1172538,1,12/8/2022,1/19/2023,,#N/A
220-1172539,1,12/8/2022,1/19/2023,,#N/A
220-1172540,1,12/8/2022,1/19/2023,,#N/A
220-1172541,1,12/8/2022,1/19/2023,,#N/A
220-1172542,1,12/8/2022,1/19/2023,,#N/A
220-1172543,1,12/8/2022,1/19/2023,,#N/A
220-1172544,1,12/8/2022,1/19/2023,,#N/A
220-1172545,1,12/8/2022,1/19/2023,,#N/A
220-1172546,1,12/8/2022,1/19/2023,,#N/A
220-1172547,1,12/8/2022,1/19/2023,,#N/A
220-1172548,1,12/8/2022,1/19/2023,,#N/A
220-1172549,1,12/8/2022,12/8/2022,,#N/A
220-1172550,1,12/8/2022,1/19/2023,,#N/A
220-1172551,1,12/8/2022,1/19/2023,,#N/A
220-1172552,S,12/8/2022,1/20/2023,,#N/A
220-1172553,1,12/8/2022,1/19/2023,,#N/A
220-1172554,1,12/8/2022,1/19/2023,,#N/A
220-1172555,1,12/8/2022,1/19/2023,,#N/A
220-1172556,1,12/8/2022,1/19/2023,,#N/A
220-1172557,S,12/8/2022,1/20/2023,,#N/A
220-1172558,1,12/8/2022,1/19/2023,,#N/A
220-1172559,1,12/8/2022,1/19/2023,,#N/A
220-1172560,S,12/8/2022,1/20/2023,,#N/A
220-1172561,1,12/8/2022,1/19/2023,,#N/A
220-1172562,1,12/8/2022,1/19/2023,,#N/A
220-1172563,1,12/8/2022,1/19/2023,,#N/A
220-1172564,S,12/8/2022,1/20/2023,,#N/A
220-1172565,1,12/8/2022,1/19/2023,,#N/A
220-1172566,1,12/8/2022,1/19/2023,,#N/A
220-1172567,1,12/8/2022,1/19/2023,,#N/A
220-1172568,9,12/8/2022,1/19/2023,,#N/A
220-1172569,1,12/8/2022,1/19/2023,,#N/A
220-1172570,9,12/6/2022,1/19/2023,,#N/A
220-1172571,1,12/8/2022,1/19/2023,,#N/A
220-1172572,1,12/8/2022,1/19/2023,,#N/A
